Timestamp,Frame,TVSI,State,Severity,Trend,Explanation,Flow,Density,Avg_Speed,Congestion_Detected,Amber_Alert,Time_To_Congestion,TVSI_Derivative,Suggested_Action
2026-02-08 09:11:33,300,-0.4090822536786006,Moderate Congestion,SEVERE,STABLE,⚠️ CONGESTION: slow (26 km/h),7,5,25.695141060839045,True,True,0.39613308743615705,-1.147565669278411,⚠️ URGENT: Extend green phase +30s on main corridor
2026-02-08 09:11:57,900,-0.7758283091997158,Critical Failure,CRITICAL,DEGRADING,🚨 CRITICAL: immediate intervention needed,6,7,16.819832505641433,True,False,,-0.7373503333063458,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:04,1050,-1.0,Critical Failure,CRITICAL,DEGRADING,🚨 CRITICAL: gridlock speed (11 km/h),3,9,11.443000918212825,True,False,,-0.2241716908002842,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:09,1200,-0.8392856050305519,Critical Failure,CRITICAL,STABLE,🚨 CRITICAL: gridlock speed (14 km/h),6,8,13.556070373607962,True,False,,0.16071439496944806,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:16,1350,-1.0,Critical Failure,CRITICAL,STABLE,🚨 CRITICAL: immediate intervention needed,5,9,15.36765191307686,True,False,,-0.16071439496944806,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:23,1500,-1.0,Critical Failure,CRITICAL,DEGRADING,🚨 CRITICAL: gridlock speed (14 km/h),4,11,14.43515798752541,True,False,,0.0,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:29,1650,-0.9797424664938218,Critical Failure,CRITICAL,STABLE,🚨 CRITICAL: gridlock speed (15 km/h),8,10,14.56838324370259,True,False,,0.020257533506178205,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:36,1800,-0.9272184782029259,Critical Failure,CRITICAL,STABLE,🚨 CRITICAL: gridlock speed (14 km/h),4,7,14.237310011305938,True,False,,0.052523988290895884,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:42,1950,-0.5254674675337765,Critical Failure,CRITICAL,IMPROVING,🚨 CRITICAL: gridlock speed (14 km/h),4,6,13.653723285759005,True,False,,0.4017510106691494,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:12:49,2100,-0.8235846721748682,Critical Failure,CRITICAL,IMPROVING,🚨 CRITICAL: gridlock speed (13 km/h),6,8,13.347736840884334,True,False,,-0.2981172046410917,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
2026-02-08 09:13:02,2400,-0.7719094583329364,Critical Failure,CRITICAL,STABLE,🚨 CRITICAL: immediate intervention needed,3,6,16.766257162259176,True,False,,-0.5993847628094425,"🚨 IMMEDIATE: Activate signal preemption, deploy traffic control"
